map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130236,475,2886.9
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131799,473,2904.0
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,126237,446,2700.0
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130316,436,2704.7
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130154,466,2782.4
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,132115,482,2822.8
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131375,490,2853.5
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131245,441,2634.7
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,129846,465,2717.0
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130725,475,2742.1
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131379,474,2750.2
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131396,498,2781.6
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,147645,448,3094.5
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149697,452,3107.6
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150111,457,3121.2
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150186,457,3123.4
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150297,481,3234.2
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,148797,460,3234.2
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,151978,460,3258.6
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,152512,462,3284.3
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,148984,482,3325.4
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,151835,481,3333.5
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149919,452,3249.7
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,148557,471,3332.8
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,151744,470,3355.7
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149246,477,3361.3
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,151607,473,3364.6
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149691,435,3110.2
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,145941,452,3146.2
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149726,466,3206.5
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149447,482,3250.1
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150912,490,3303.4
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150579,442,21589.7
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,148291,465,21724.8
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,149739,480,21766.7
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150177,474,21767.4
warehouse-20-40-10-2-2.map,55760,17004,800,DCMAPF,True,150901,500,21836.5
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,165279,448,3974.9
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,168445,461,4056.1
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167890,462,4074.0
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167116,456,4080.0
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,168568,479,4135.6
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,166859,462,4019.8
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,169351,464,4054.1
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,170237,463,4069.7
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,169378,483,4145.8
